merchant,merchant_alias,description,category
Zerodha Investments,ZERODHA BROKING INVESTMENTS,Sovereign Gold Bond Purchase,Investments
Kama Ayurveda Spa,KAMA AYURVEDA SPA,Kumkumadi Miraculous Night Serum,Grooming
FreshToHome Mart,FRESHTOHOME FOODS MART,Fresh Sea Fish,Groceries
Air India Service,TATA AIR INDIA SERVICE,Flight Booking to Mumbai,Transportation
Baskin Robbins Outlet,BASKIN ROBBINS OUTLET,Mississippi Mud Sundae,Food & Dining
Family Corporate Payout,SALARY/SIDDHARTHPATEL,Monthly Salary Credit - August 2025,Miscellaneous
Groww Capital,GROWW SIP CAPITAL,Index Fund SIP Monthly Auto-debit,Investments
Chai Point Outlet,CHAI POINT OUTLET,Filter Coffee & Bun Maska,Food & Dining
Swiggy Delivery,SWIGGY*PAY DELIVERY,Butter Chicken Meal,Food & Dining
Beardo Care,BEARDO CARE,Charcoal Face Wash & Grooming Kit,Grooming
BookMyShow Media,BIGTREE ENTERTAINMENT MEDIA,Movie Tickets for 2 - IMAX 3D,Entertainment
Amazon India Retail,AMAZON PAY INDIA RETAIL,Kindle Paperwhite,Shopping
Spotify India,SPOTIFY INDIA INDIA,Spotify Premium Individual Plan,Entertainment
IRCTC Pay,IRCTC PAY,Rajdhani Express AC 2 Tier,Transportation
Booking.com Stays,BOOKING.COM INDIA STAYS,Luxury Heritage Hotel Stay Jaipur,Vacation
Namma Yatri Fuel,NAMMA YATRI FUEL,Auto Ride via Namma Yatri,Transportation
Crossword Bookstore Learning,CROSSWORD BOOKSTORES LEARNING,Technical Books & Fiction Novels,Education
Udemy Learning,UDEMY LEARNING,Python Data Science Masterclass Course,Education
Vi Postpaid,VI POSTPAID,Mobile Postpaid Monthly Bill,Utilities
Society Maintenance Online,APARTMENT ASSN MAINTENANCE ONLINE,Quarterly Maintenance Fee,Rent & Housing
Myntra Fashion,MYNTRA FASHION,Leather Jacket & Boots,Shopping
Domino's Pizza,DOMINOS ONLINE,Choco Lava Cake,Food & Dining
Decathlon Fashion,DECATHLON SPORTS INDIA FASHION,Yoga Mat & Dumbbells,Shopping
Coursera Edu,COURSERA EDU,Coursera Plus Annual Subscription,Education
Taj Hotels Travels,TAJ RESORTS TRAVELS,Fine Dining & Spa,Vacation
Decathlon Fashion,DECATHLON FASHION,Trekking Backpack & Shoes,Shopping
Amazon India Retail,AMZN PAY RETAIL,Cotton Casual Shirts,Shopping
H&M India Store,H&M STORE,Casual Sneakers,Shopping
Starbucks,STARBUCKS COFFEE,Java Chip Frappuccino,Food & Dining
WorkingProfessional Corporate Payout,SALARY/SIDDHARTHSHARMA,Monthly Salary Credit - February 2025,Miscellaneous
Coursera Academy,COURSERA ACADEMY,Coursera Academy - Recurring Subscription,Education
NoBroker Rent Pay Online,NOBROKER RENT ONLINE,NoBroker Rent Pay Online - Recurring Subscription,Rent & Housing
PVR Cinemas India,PVR LIMITED INDIA,PVR Gold Class Movie Tickets,Entertainment
Landlord Direct Rent Online,RENT PAYMENT ONLINE,Monthly Apartment Rent Transfer,Rent & Housing
Chaayos Delivery,CHAAYOS DELIVERY,Desi Chai & Maska Bun,Food & Dining
SonyLIV Digital,SONYLIV DIGITAL,SonyLIV Premium Annual Subscription,Entertainment
SonyLIV,SONYLIV,Sports & Live Match Pass,Entertainment
Cult.fit Gym,CUREFIT HEALTHCARE,Cult Live Workout Subscription,Healthcare
PPF Deposit Capital,PPF DEPOSIT CAPITAL,Annual PPF Tax Saving Contribution,Investments
Indane LPG Gas Utility,INDANE GAS UTILITY,Indane LPG Gas Utility - Recurring Subscription,Utilities
Zepto Direct,KIRANAKART DIRECT,Fresh Tomatoes & Onions,Groceries
Naturals Salon,NATURALS SALON,Hair Coloring & Keratin Treatment,Grooming
YouTube Premium India,YOUTUBE PREMIUM INDIA,YouTube Premium India - Recurring Subscription,Entertainment
Barbeque Nation,BARBEQUE NATION LTD,Weekend Lunch Buffet,Food & Dining
Lenskart Healthcare,LENSKART SOLUTIONS HEALTHCARE,Ray-Ban Sunglasses,Healthcare
MakeMyTrip Holidays,MMT INDIA HOLIDAYS,Manali Tour Package Booking,Vacation
Society Maintenance Pay,MYGATE MAINTENANCE PAY,Quarterly Maintenance Fee,Rent & Housing
Shell Petrol Pump Fuel,SHELL INDIA FUEL,Shell Lubricant & Fuel,Transportation
Nature's Basket Mart,NATURES BASKET MART,Artisanal Bread & Organic Honey,Groceries
Local Kirana Store Direct,CITY SUPERMART DIRECT,Soap & Shampoo Sachet,Groceries
Udemy Edu,UDEMY ONLINE COURSES EDU,Fullstack Web Development Bootcamp,Education
JioFiber,JIOFIBER,JioFiber - Recurring Subscription,Utilities
Airbnb India Stays,AIRBNB PAYMENTS STAYS,Private Villa Booking in Lonavala,Vacation
PhysicsWallah Learning,PW LIVE LEARNING,NEET Prep Study Material,Education
H&M India Retail,H&M RETAIL,Casual Sneakers,Shopping
Zepto Direct,ZEPTO DAILY DIRECT,Cold Drinks & Chips,Groceries
Tata 1mg,1MG,Diagnostic Blood Test Booking,Healthcare
Lenskart Care,LENSKART CARE,Ray-Ban Sunglasses,Healthcare
Namma Yatri Pay,MOVING TECH NAMMA PAY,Auto Ride via Namma Yatri,Transportation
Myntra,MYNTRA,Leather Jacket & Boots,Shopping
Country Delight Direct,ORGANICS COUNTRY DELIGHT DIRECT,Fresh Paneer & Taaza Dahi,Groceries
Vi Postpaid Utility,VI POSTPAID UTILITY,Mobile Postpaid Monthly Bill,Utilities
Urban Company Spa,URBAN COMPANY SPA,Pedicure & Manicure,Grooming
Apollo Pharmacy Medical,APOLLO 247 MEDICAL,Monthly Diabetes Medication,Healthcare
Ola Cabs,OLA AUTO,Ola Auto Ride,Transportation
McDonald's,MCDONALDS Pune,Cold Coffee & Soft Serve,Food & Dining
Namma Yatri Service,NAMMA YATRI SERVICE,Direct Auto Payment,Transportation
Spotify Digital,SPOTIFY DIGITAL,Spotify Premium Individual Plan,Entertainment
Uber Pay,UBER AUTO PAY,Uber Moto Short Ride,Transportation
Bikanervala Delivery,BIKANERVALA DELIVERY,Special Thali,Food & Dining
Zepto,ZEPTO,Fresh Tomatoes & Onions,Groceries
Landlord Direct Rent Pay,RENT PAYMENT PAY,Room Rent Payment,Rent & Housing
Licious,LICIOUS MEAT,Prawns & Fish,Groceries
Myntra Digital,MYNTRA DESIGNS DIGITAL,Denim Jeans & T-shirts,Shopping
Burger King Express,BURGER KING INDIA EXPRESS,Whopper Combo,Food & Dining
Nature's Basket Mart,SPENCERS NATURES BASKET MART,Imported Gourmet Sauces,Groceries
WorkingProfessional Corporate Payout,SALARY/PRANAVBHAT,Monthly Salary Credit - November 2025,Miscellaneous
HPCL Fuel Fuel,HINDUSTAN PETROLEUM FUEL,Diesel Refill,Transportation
Rapido Fuel,RAPIDO BIKE FUEL,Quick Office Commute,Transportation
McDonald's Delivery,MCDONALDS Delhi NCR DELIVERY,McSpicy Chicken Meal,Food & Dining
MakeMyTrip Travels,MMT INDIA TRAVELS,Goa Beach Resort 3 Nights Stay,Vacation
Apple Music Media,APPLE MUSIC MEDIA,Apple Music Media - Recurring Subscription,Entertainment
Retired Corporate Payout,SALARY/ISHANREDDY,Monthly Salary Credit - April 2025,Miscellaneous
HPCL Fuel Service,HP PETROL PUMP SERVICE,Engine Oil & Fuel,Transportation
Udemy Learning,UDEMY ONLINE COURSES LEARNING,Fullstack Web Development Bootcamp,Education
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,Room Rent Payment,Rent & Housing
Social Express,IMPRESARIO ENTERTAINMENT EXPRESS,Cocktails & Bar Bites,Food & Dining
SonyLIV,CULVER MAX ENTERTAINMENT,SonyLIV - Recurring Subscription,Entertainment
Airbnb India Stays,AIRBNB PAYMENTS STAYS,Private Villa Booking in Lonavala,Vacation
Haldiram's,HALDIRAM RESTAURANT,Raj Kachori & Chole Bhature,Food & Dining
Kama Ayurveda Spa,KAMA AYURVEDA RETAIL SPA,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Beardo,BEARDO,Charcoal Face Wash & Grooming Kit,Grooming
Apple Store,UNICORN APPLE,AirPods Pro 2,Shopping
Prime Video Media,PRIME VIDEO MEDIA,Prime Video Media - Recurring Subscription,Entertainment
PVR Cinemas Digital,PVR LIMITED DIGITAL,PVR Gold Class Movie Tickets,Entertainment
Delhi Metro Service,DELHI METRO SERVICE,Metro Card Auto-Topup,Transportation
Kama Ayurveda Care,KAMA AYURVEDA RETAIL CARE,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Starbucks Outlet,STARBUCKS INDIA OUTLET,Iced Americano & Croissant,Food & Dining
Vi Postpaid Bill,VI POSTPAID BILL,Vi Postpaid Bill - Recurring Subscription,Utilities
NPS Contribution Capital,CRA NSDL NPS CAPITAL,NPS Contribution Capital - Recurring Subscription,Investments
McDonald's Express,MCDONALDS Lucknow EXPRESS,Cold Coffee & Soft Serve,Food & Dining
Starbucks Outlet,STARBUCKS COFFEE OUTLET,Java Chip Frappuccino,Food & Dining
Practo,PRACTO,Online Doctor Video Consultation,Healthcare
Coursera Edu,COURSERA EDU,Coursera Plus Annual Subscription,Education
Local Kirana Store,CITY SUPERMART,Soap & Shampoo Sachet,Groceries
Subway Delivery,SUBWAY Kolkata DELIVERY,Paneer Tikka Sub 6-inch,Food & Dining
Taj Hotels Travels,TAJ RESORTS TRAVELS,Fine Dining & Spa,Vacation
FASTag Recharge,FASTAG,FASTag Auto Recharge,Transportation
IRCTC,IRCTC,Sleeper Class Ticket,Transportation
BESCOM Electricity Bill,BESCOM BILL,Monthly Electricity Consumption Bill,Utilities
Lenskart Medical,LENSKART SOLUTIONS MEDICAL,Contact Lenses & Solution,Healthcare
School Tuition Fee Academy,DELHI PUBLIC SCHOOL FEE ACADEMY,School Tuition Fee Academy - Recurring Subscription,Education
Flipkart,FLIPKART,Running Shoes & Sports Wear,Shopping
Local ATM Cash Withdrawal Direct,HDFC BANK ATM DIRECT,ATM Cash Withdrawal for Daily Pocket Expenses,Miscellaneous
D-Mart Store,DMART STORE,Snacks & Pulses,Groceries
Apple Store Fashion,UNICORN APPLE FASHION,MacBook Air M2 Laptop,Shopping
Flipkart Fashion,FLIPKART FASHION,Smart TV Purchase,Shopping
Zomato Outlet,Zomato Gold OUTLET,Lunch Thali,Food & Dining
Chai Point Express,CHAI POINT EXPRESS,Ice Chai & Sandwich,Food & Dining
Nature's Basket Direct,SPENCERS NATURES BASKET DIRECT,Imported Gourmet Sauces,Groceries
Pizza Hut Outlet,DEVYANI INT PIZZA OUTLET,Personal Pan Pizza,Food & Dining
Student Corporate Payout,SALARY/PRANAVJOSHI,Monthly Salary Credit - January 2025,Miscellaneous
BPCL Fuel Fuel,BPCL FUEL,Two-wheeler Fuel Topup,Transportation
Naturals Salon Care,NATURALS BEAUTY CARE CARE,Hair Coloring & Keratin Treatment,Grooming
Westside Retail,WESTSIDE RETAIL,Formal Trousers & Blazers,Shopping
Student Corporate Payout,SALARY/KAVYAMEHTA,Monthly Salary Credit - March 2025,Miscellaneous
Swiggy Instamart Store,INSTAMART STORE,Fresh Fruits Basket,Groceries
HPCL Fuel Service,HINDUSTAN PETROLEUM SERVICE,Petrol Tank Full,Transportation
YouTube Premium India,YOUTUBE PREMIUM INDIA,YouTube Premium Individual Plan,Entertainment
Udemy Edu,UDEMY ONLINE COURSES EDU,Python Data Science Masterclass Course,Education
Taco Bell Express,BURMAN HOSPITALITY TACO EXPRESS,Quesadilla & Seasoned Fries,Food & Dining
Lenskart Medical,LENSKART SOLUTIONS MEDICAL,Anti-glare Prescription Eyeglasses,Healthcare
Rapido Pay,RAPIDO PAY,Quick Office Commute,Transportation
H&M India Digital,H&M DIGITAL,Casual Sneakers,Shopping
Pizza Hut Outlet,DEVYANI INT PIZZA OUTLET,Pasta & Garlic Bread,Food & Dining
DTDC Express Direct,DTDC EXPRESS LTD DIRECT,Outstation Courier Document Charge,Miscellaneous
IOCL Fuel Service,INDIAN OIL SERVICE,Diesel Tank Refill,Transportation
BESCOM Electricity Utility,BESCOM BILL PAY UTILITY,BESCOM Electricity Utility - Recurring Subscription,Utilities
BigBasket Mart,SUPERMARKET GROCERY MART,Weekly Organic Vegetables,Groceries
Swiggy Instamart Mart,INSTAMART MART,Daily Milk & Curd,Groceries
Zerodha Investments,ZERODHA INVESTMENTS,Zerodha Investments - Recurring Subscription,Investments
Local Kirana Store Direct,UPAHAR PROVISIONS DIRECT,Sugar & Salt,Groceries
Housing.com Rent,LOCON SOLUTIONS,Housing.com Rent - Recurring Subscription,Rent & Housing
Taco Bell Outlet,BURMAN HOSPITALITY TACO OUTLET,Quesadilla & Seasoned Fries,Food & Dining
Naturals Ice Cream Express,KAMAT HOTELS NATURALS EXPRESS,Sitaphal & Mango Scoops,Food & Dining
HP Gas,HINDUSTAN PETROLEUM LPG,LPG Cooking Gas Cylinder Refill,Utilities
Crossword Bookstore Academy,CROSSWORD BOOKSTORES ACADEMY,Technical Books & Fiction Novels,Education
NoBroker Rent Pay Online,NOBROKER RENT ONLINE,NoBroker Rent Pay Online - Recurring Subscription,Rent & Housing
Student Corporate Payout,SALARY/DIYAVERMA,Monthly Salary Credit - June 2025,Miscellaneous
Spotify,SPOTIFY,Spotify - Recurring Subscription,Entertainment
Housing.com Rent Online,HOUSING.COM RENT ONLINE,Housing.com Rent Online - Recurring Subscription,Rent & Housing
Zomato Delivery,ZOMATO DELIVERY,Dessert & Ice Cream,Food & Dining
PharmEasy,PHARMEASY ONLINE,Monthly Medicine Order,Healthcare
YouTube Premium Digital,GOOGLE YOUTUBE DIGITAL,YouTube Premium Digital - Recurring Subscription,Entertainment
CRED RentPay Online,CRED RENTPAY ONLINE,CRED RentPay Online - Recurring Subscription,Rent & Housing
Groww Investments,NEXTBILLION TECHNOLOGY INVESTMENTS,Index Fund SIP Monthly Auto-debit,Investments
D-Mart,DMART,Detergents & Toiletries,Groceries
Baskin Robbins Outlet,GRAVISS FOODS OUTLET,Ice Cream Cake Slice,Food & Dining
Chaayos Express,SUNSHINE TEAHOUSE EXPRESS,Kulhad Chai & Poha,Food & Dining
Nykaa,FSN E-COMMERCE,Makeup Products & Foundation,Shopping
Oyo Rooms Holidays,ORAVEL STAYS HOLIDAYS,Budget Hotel Stay for 2 Nights,Vacation
Booking.com Holidays,BOOKING.COM HOLIDAYS,Boutique Resort Stay Udaipr,Vacation
Upstox Capital,UPSTOX CAPITAL,Stock Trading Margin Topup,Investments
Upstox,RKSV SECURITIES,FNO Options Investment,Investments
Zara India,INDITEX ZARA,Designer Overcoat,Shopping
Landlord Direct Rent,RENT PAYMENT,House Rent for Current Month,Rent & Housing
Disney+ Hotstar Digital,NOVI DIGITAL DIGITAL,Hotstar Premium Annual Subscription,Entertainment
Apple Store Fashion,IMAGINE APPLE PREMIUM FASHION,AirPods Pro 2,Shopping
Chai Point Outlet,CHAI POINT OUTLET,Ginger Chai & Samosa,Food & Dining
Scaler Academy,SCALER ACADEMY,Software Engineering Track Installment,Education
School Tuition Fee,DELHI PUBLIC SCHOOL FEE,Quarterly School Tuition & Transport Fee,Education
Cafe Coffee Day Delivery,CAFE COFFEE DAY DELIVERY,Cafe Latte & Garlic Toast,Food & Dining
BookMyShow Digital,BIGTREE ENTERTAINMENT DIGITAL,Concert Event Passes,Entertainment
CRED RentPay Online,CRED RENT ONLINE,Flat Rent Pay via CRED,Rent & Housing
More Megastore Store,MORE RETAIL STORE,Supermarket Groceries Order,Groceries
Zepto Store,ZEPTO STORE,Cold Drinks & Chips,Groceries
Landlord Direct Rent,RENT PAYMENT,Landlord Direct Rent - Recurring Subscription,Rent & Housing
YouTube Premium,GOOGLE YOUTUBE,YouTube Family Subscription,Entertainment
Bodycraft Salon Care,BODYCRAFT CARE,Aromatherapy Massage,Grooming
BlueDart Direct,BLUE DART EXPRESS DIRECT,Urgent Air Courier Delivery Fee,Miscellaneous
Housing.com Rent,LOCON SOLUTIONS,Housing.com Rent - Recurring Subscription,Rent & Housing
McDonald's,MCD DELIVERY,Happy Meal,Food & Dining
SpiceJet Service,SPICEJET AIRLINES SERVICE,Excess Baggage Fee,Transportation
Goibibo Stays,IBIBO GROUP STAYS,Weekend Hotel Booking in Coorg,Vacation
Haldiram's,HALDIRAMS SWEETS,Assorted Sweets Box,Food & Dining
Barbeque Nation Express,BBQ NATION EXPRESS,Corporate Buffet Outing,Food & Dining
MakeMyTrip Travels,MMT INDIA TRAVELS,Goa Beach Resort 3 Nights Stay,Vacation
Flipkart Fashion,FLIPKART FASHION,Running Shoes & Sports Wear,Shopping
CRED RentPay Pay,DREAMPLUG RENT PAY,Flat Rent Pay via CRED,Rent & Housing
Adani Electricity Utility,ADANI POWER MUMBAI UTILITY,Monthly Power Utility Payment,Utilities
Subway,SUBWAY INDIA,Sub Meal & Cookie,Food & Dining
Burger King Delivery,BK DELIVERY DELIVERY,Crispy Chicken Meal,Food & Dining
IndiGo,INDIGO,Indigo Flight Seat Selection & Meal,Transportation
Spotify,SPOTIFY AB,Spotify Duo Monthly Plan,Entertainment
BESCOM Electricity Utility,BANGALORE ELECTRICITY UTILITY,Monthly Electricity Consumption Bill,Utilities
Myntra,MYNTRA,Denim Jeans & T-shirts,Shopping
Booking.com,BOOKING.COM INDIA,Luxury Heritage Hotel Stay Jaipur,Vacation
NoBroker Rent Pay,NOBROKER RENT,NoBroker Rent Pay - Recurring Subscription,Rent & Housing
FreshToHome,FRESHTOHOME FOODS,Antibiotic-free Chicken,Groceries
Jawed Habib Salon Spa,JAWED HABIB SPA,"Haircut, Wash & Styling",Grooming
D-Mart Mart,DMART Ahmedabad MART,Snacks & Pulses,Groceries
Taj Hotels Travels,TAJ RESORTS TRAVELS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
Unacademy,SORTING HAT TECHNOLOGIES,UPSC Coaching Subscription,Education
Lenskart Healthcare,LENSKART HEALTHCARE,Anti-glare Prescription Eyeglasses,Healthcare
Paytm Money Capital,PAYTM MONEY CAPITAL,Paytm Money Capital - Recurring Subscription,Investments
Paytm Money,PAYTM MONEY,Nifty 50 Mutual Fund SIP,Investments
BESCOM Electricity Bill,BANGALORE ELECTRICITY BILL,BESCOM Electricity Bill - Recurring Subscription,Utilities
Jawed Habib Salon Care,JAWED HABIB HAIR & BEAUTY CARE,Beard Trim & Hair Spa,Grooming
Air India Fuel,AIR INDIA FUEL,Business Class Upgrade,Transportation
KFC Express,KFC ONLINE EXPRESS,Smoky Red Chicken,Food & Dining
BlueDart,BLUEDART,Urgent Air Courier Delivery Fee,Miscellaneous
Scaler Academy Academy,INTERVIEWBIT ACADEMY,Software Engineering Track Installment,Education
HPCL Fuel Pay,HPCL PAY,Engine Oil & Fuel,Transportation
Booking.com Travels,BOOKING.COM INDIA TRAVELS,Boutique Resort Stay Udaipr,Vacation
Retired Corporate Payout,SALARY/KAVYAGUPTA,Monthly Salary Credit - March 2025,Miscellaneous
BusinessOwner Corporate Payout,SALARY/ISHANGUPTA,Monthly Salary Credit - November 2025,Miscellaneous
Baskin Robbins,GRAVISS FOODS,Ice Cream Cake Slice,Food & Dining
Jawed Habib Salon Salon,JAWED HABIB SALON,Beard Trim & Hair Spa,Grooming
Croma Digital,INFINITI RETAIL CROMA DIGITAL,Washing Machine Front Load,Shopping
Lenskart Care,LENSKART CARE,Anti-glare Prescription Eyeglasses,Healthcare
Scaler Academy Academy,INTERVIEWBIT ACADEMY,Software Engineering Track Installment,Education
Zerodha,ZERODHA COIN,Sovereign Gold Bond Purchase,Investments
Naturals Ice Cream,NATURALS ICE CREAM,Tender Coconut Ice Cream,Food & Dining
PPF Deposit,SBI PPF ACCOUNT,Annual PPF Tax Saving Contribution,Investments
Groww,GROWW SIP,Direct Equity Investment,Investments
BigBasket Mart,BB DAILY MART,Dairy Products,Groceries
Taj Hotels,INDIAN HOTELS CO LTD,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
Apollo Pharmacy Care,APOLLO HOSPITALS PHARMA CARE,First Aid & Skincare Items,Healthcare
Subway Outlet,SUBWAY OUTLET,Sub of the Day,Food & Dining
Bikanervala Delivery,BIKANERVALA DELIVERY,Kaju Katli Box,Food & Dining
Myntra Store,MYNTRA STORE,Festive Kurta Set,Shopping
Society Maintenance,SOCIETY MAINTENANCE,Quarterly Maintenance Fee,Rent & Housing
McDonald's,HARDCASTLE RESTAURANTS,McSpicy Chicken Meal,Food & Dining
Kama Ayurveda Spa,KAMA AYURVEDA RETAIL SPA,Bringadi Hair Oil & Ayurvedic Soap,Grooming
PharmEasy Healthcare,API HOLDINGS HEALTHCARE,Monthly Medicine Order,Healthcare
Landlord Direct Rent Pay,RENT PAYMENT PAY,Room Rent Payment,Rent & Housing
Burger King,BK DELIVERY,Whopper Combo,Food & Dining
Spotify India,SPOTIFY INDIA,Spotify Duo Monthly Plan,Entertainment
Beardo Spa,ZED BLACK BEARDO SPA,Beard Oil & Growth Serum,Grooming
Wonderla Digital,WONDERLA DIGITAL,Amusement Park Fastrack Tickets,Entertainment
Nykaa Retail,NYKAA BEAUTY RETAIL,Perfume & Fragrance,Shopping
Zomato,Zomato Ltd,North Indian Combo,Food & Dining
HP Gas Bill,HINDUSTAN PETROLEUM LPG BILL,LPG Cooking Gas Cylinder Refill,Utilities
Investor Corporate Payout,SALARY/MANISHNAIR,Monthly Salary Credit - June 2025,Miscellaneous
MakeMyTrip Travels,MAKEMYTRIP TRAVELS,Manali Tour Package Booking,Vacation
Investor Corporate Payout,SALARY/ANANYAREDDY,Monthly Salary Credit - August 2025,Miscellaneous
Kama Ayurveda Care,KAMA AYURVEDA RETAIL CARE,Kumkumadi Miraculous Night Serum,Grooming
Zepto,ZEPTO,Cold Drinks & Chips,Groceries
Flipkart Store,FKMP PAY STORE,Kitchen Mixer Grinder,Shopping
MakeMyTrip,MMT INDIA,Goa Beach Resort 3 Nights Stay,Vacation
Bikanervala Delivery,BIKANERVALA DELIVERY,Samosa & Jalebi,Food & Dining
JioFiber,RELIANCE JIO INFOCOMM,JioFiber Unlimited Internet Monthly Plan,Utilities
ICICI Direct Capital,ICICI SECURITIES CAPITAL,Equity Portfolio Investment,Investments
Haldiram's,HALDIRAMS SWEETS,Thali Meal,Food & Dining
Nykaa,NYKAA,Hair Serum & Moisturizer,Shopping
Licious Mart,LICIOUS MART,Fresh Chicken Breast,Groceries
Housing.com Rent,HOUSING.COM RENT,House Rent Payment via Housing Pay,Rent & Housing
Naturals Salon Salon,NATURALS BEAUTY CARE SALON,Facial & Threading,Grooming
Licious Direct,LICIOUS DIRECT,Atlantic Salmon Fillet,Groceries
Retired Corporate Payout,SALARY/ANANYADESHMUKH,Monthly Salary Credit - February 2025,Miscellaneous
Ajio Retail,RELIANCE RETAIL AJIO RETAIL,Ethnawear Kurtis,Shopping
Urban Company,URBAN CLAP,Pedicure & Manicure,Grooming
School Tuition Fee Edu,SCHOOL FEE EDU,School Tuition Fee Edu - Recurring Subscription,Education
Social Outlet,IMPRESARIO ENTERTAINMENT OUTLET,Craft Beer & Nachos,Food & Dining
MakeMyTrip Holidays,MAKEMYTRIP HOLIDAYS,Goa Beach Resort 3 Nights Stay,Vacation
Landlord Direct Rent,RENT PAYMENT,Monthly Apartment Rent Transfer,Rent & Housing
Myntra Fashion,MYNTRA FASHION FASHION,Festive Kurta Set,Shopping
Local ATM Cash Withdrawal Services,HDFC BANK ATM SERVICES,ATM Cash Withdrawal for Daily Pocket Expenses,Miscellaneous
Kama Ayurveda Salon,KAMA AYURVEDA RETAIL SALON,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Reliance Fresh Store,RELIANCE RETAIL STORE,Dry Fruits & Nuts,Groceries
Vi Postpaid,VI POSTPAID,Vi Postpaid - Recurring Subscription,Utilities
Ajio,RELIANCE RETAIL AJIO,Winter Wear Jackets,Shopping
Tata Power Bill,TATA POWER BILL,Tata Power Bill - Recurring Subscription,Utilities
Blue Tokai,BLUE TOKAI,Flat White Coffee,Food & Dining
Cult.fit Gym Care,CULTPASS CARE,Cult Live Workout Subscription,Healthcare
Scaler Academy Edu,SCALER EDU,Scaler Academy Edu - Recurring Subscription,Education
Zepto Mart,KIRANAKART MART,Instant Grocery Delivery,Groceries
Swiggy,SWIGGY*PAY,Pizza Order,Food & Dining
Rapido,ROPPEN TRANSPORTATION,Quick Office Commute,Transportation
Taj Hotels Holidays,INDIAN HOTELS CO LTD HOLIDAYS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
YouTube Premium,GOOGLE YOUTUBE,YouTube Premium - Recurring Subscription,Entertainment
Wow! Momo,WOW MOMO FOODS,Momo Burger Combo,Food & Dining
Investor Corporate Payout,SALARY/RAHULSHARMA,Monthly Salary Credit - July 2025,Miscellaneous
Domino's Pizza Delivery,JUBILANT FOODWORKS DELIVERY,Choco Lava Cake,Food & Dining
Bikanervala Express,BIKANERVALA SWEETS EXPRESS,Samosa & Jalebi,Food & Dining
Naturals Salon Salon,NATURALS BEAUTY CARE SALON,Facial & Threading,Grooming
Croma Retail,INFINITI RETAIL CROMA RETAIL,Washing Machine Front Load,Shopping
Domino's Pizza Delivery,DOMINOS DELIVERY,Party Combo,Food & Dining
Udemy Academy,UDEMY ACADEMY,Fullstack Web Development Bootcamp,Education
Third Wave Coffee Outlet,CUSTOMIZED COFFEE PVT OUTLET,Sea Salt Mocha,Food & Dining
Paytm Money Investments,PAYTM MONEY INVESTMENTS,Paytm Money Investments - Recurring Subscription,Investments
Shell Petrol Pump,SHELL INDIA,Shell V-Power Petrol Refill,Transportation
Taco Bell,BURMAN HOSPITALITY TACO,Burrito Meal Box,Food & Dining
Paytm Money Investments,PAYTM MONEY INVESTMENTS,ELSS Tax Saver Fund SIP,Investments
Bodycraft Salon Spa,BODYCRAFT SPA,Aromatherapy Massage,Grooming
Beardo Salon,ZED BLACK BEARDO SALON,Charcoal Face Wash & Grooming Kit,Grooming
Dr Lal PathLabs Care,LAL PATHLABS DIAGNOSTICS CARE,Full Body Health Checkup Package,Healthcare
Zerodha Investments,ZERODHA COIN INVESTMENTS,Monthly Mutual Fund SIP Investment,Investments
Ajio Store,AJIO STORE,Branded Sneakers,Shopping
MakeMyTrip Stays,MAKEMYTRIP STAYS,Goa Beach Resort 3 Nights Stay,Vacation
BPCL Fuel Service,BPCL SERVICE,Speed Petrol Refill,Transportation
Paradise Biryani Delivery,PARADISE BIRYANI DELIVERY,Mirchi Ka Salan Combo,Food & Dining
D-Mart Direct,DMART DIRECT,Detergents & Toiletries,Groceries
Blue Tokai Delivery,BLUE TOKAI COFFEE ROASTERS DELIVERY,Croissant & Cold Brew,Food & Dining
Burger King,BURGER KING INDIA,Crispy Chicken Meal,Food & Dining
D-Mart,DMART Chandigarh,Monthly Staples & Provisions,Groceries
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,Landlord Direct Rent Online - Recurring Subscription,Rent & Housing
SoftwareEngineer Corporate Payout,SALARY/ARJUNVERMA,Monthly Salary Credit - July 2025,Miscellaneous
Airbnb India Holidays,AIRBNB PAYMENTS HOLIDAYS,Beachfront Homestay Gokarna,Vacation
NPS Contribution,NPS TRUST,NPS Contribution - Recurring Subscription,Investments
Groww Investments,GROWW SIP INVESTMENTS,Groww Investments - Recurring Subscription,Investments
Goibibo Holidays,IBIBO GROUP HOLIDAYS,Weekend Hotel Booking in Coorg,Vacation
JioFiber Bill,RELIANCE JIO INFOCOMM BILL,JioFiber Bill - Recurring Subscription,Utilities
Kama Ayurveda Salon,KAMA AYURVEDA RETAIL SALON,Kumkumadi Miraculous Night Serum,Grooming
Nykaa Store,NYKAA BEAUTY STORE,Makeup Products & Foundation,Shopping
Oyo Rooms Travels,ORAVEL STAYS TRAVELS,Budget Hotel Stay for 2 Nights,Vacation
